# 游戏内文本译文（由 tools/i18n_batch.py 生成，请勿手工编辑）
#
# 覆盖对话、战斗消息、说明文字等；名称类官方译名见 zh_CN_names.txt。
# 同一原文在不同文件里含义不同时，用 @file 限定到具体文件。

"and sky, it feels as if time slows down.$" = "包围时，时间仿佛变慢了。$"
"and split Necrozma\n" = "奈克洛兹玛的装置，\n"
"and steal more and more from one\l" = "手中夺取更多\l"
"and strives to grow stronger is a\l" = "努力变强的心，是\l"
"and take on many challenges.$" = "挑战更多难关。$"
"and that's it?\p" = "就这些？\p"
"and that's no lie.$" = "这可不是骗你的。$"
"and the choices were one {STR_VAR_1}\l" = "选择是{STR_VAR_1}\l"
"and then come back.$" = "然后再回来。$"
"and they burst into bloom.\p" = "现在都开花了。\p"
"and took home the {STR_VAR_3}!\p" = "抱走了 {STR_VAR_3}！\p"
"and tools on top.$" = "和工具。$"
"and trade them with many, many\l" = "和许许多多的\l"
"and treasure these\n" = "并珍藏这种\n"
"and unforgiving!$" = "而且毫不留情！$"
"and unforgiving…$" = "严酷又无情…$"
"and walking away? {PLAYER}{KUN}, help me!$" = "帅气？{PLAYER}{KUN}，帮帮我！$"
"and we almost turned you away.\p" = "我们却差点把你拒之门外。\p"
"and what I want to do, but…\p" = "以及我想做什么，可是…\p"
"and what moves they use, I could be a\l" = "用什么招式，我可能\l"
"and wheelies." = "抬起前轮。"
"and will be tasked to catch the\l" = "你的任务是捕捉\l"
"and won a rare {STR_VAR_3} COINS.\p" = "赢到了罕见的 {STR_VAR_3} 枚代币。\p"
"and won your way past {STR_VAR_3} rooms?\p" = "还一路赢过了{STR_VAR_3}个房间？\p"
"and won your way up {STR_VAR_3} floors?\p" = "还一路赢上了{STR_VAR_3}层？\p"
"and won {STR_VAR_3} battles in a row?\l" = "还连赢{STR_VAR_3}场？\l"
"and won. It suits you well!$" = "并获胜的人。很适合你！$"
"and you can even ride it too!$" = "而且你还能骑它！$"
"and you can start exploring!$" = "就能开始探索了！$"
"and you should be able to queue up\l" = "就能排队下达\l"
"and you'll have your very own profile.$" = "你就有了自己的档案。$"
"and you've caught {STR_VAR_2} POKéMON…$" = "还抓到了{STR_VAR_2}种…$"
"and {STR_VAR_2}!\p" = "和{STR_VAR_2}！\p"
"and {STR_VAR_2}?\p" = "和{STR_VAR_2}怎么样？\p"
"and {STR_VAR_3}'s sign of friendship!$" = "和{STR_VAR_3}友情的证明！$"
"and {STR_VAR_3}.$" = "以及{STR_VAR_3}。$"
"and {STR_VAR_3}.\p" = "和{STR_VAR_3}这两个招式。\p"
"angle. May cause flinching." = "角度俯冲。可能使对手畏缩。"
"annoying…\p" = "烦人…\p"
"another POKéMON species name.\p" = "拿其他宝可梦的名字来用。\p"
"another battle with me?\p" = "再跟我打一场？\p"
"another go.$" = "就告诉我。$"
"another legendary tale?$" = "一个传说故事？$"
"another occasion!$" = "前来挑战！$"
"another opportunity to do battle.$" = "能再有次对战的机会。$"
"another question.\p" = "来打扰你。\p"
"another round?$" = "一轮吗？$"
"another time, okay?$" = "再来拿，好吗？$"
"another {STR_VAR_2}…$" = "另一个{STR_VAR_2}了…$"
"another…\p" = "东西…\p"
"answer.\p" = "答案。\p"
"anxiety$" = "不安$"
"any Alola variant\l" = "任意阿罗拉版本\l"
"any Galar variant\l" = "任意伽勒尔版本\l"
"any Hoenn variant\l" = "任意丰缘版本\l"
"any Johto variant\l" = "任意城都版本\l"
"any Kalos variant\l" = "任意卡洛斯版本\l"
"any Kanto variant\l" = "任意关都版本\l"
"any Legend's Z-A\l" = "任意传说的Z-A\l"
"any Paldea variant\l" = "任意帕底亚版本\l"
"any Pokémon of\l" = "任意传说\l"
"any Shiny Pokémon.$" = "任意异色宝可梦。$"
"any Sinnoh variant\l" = "任意神奥版本\l"
"any Unova variant\l" = "任意合众版本\l"
"any battle with\n" = "任何战斗中\n"
"any further$" = "宝可梦了$"
"any of these Charms will enter a sort\l" = "任何一个开始冒险，都会\l"
"any of: Mega Ring,\l" = "可用超级环、\l"
"any sort of fire in a forest.\p" = "真的得格外小心。\p"
"any strong POKéMON…$" = "任何强大的宝可梦…$"
"anyone agree with me.$" = "任何人都认同我的力量。$"
"anyone nervous.{PAUSE 0x0F}{PAUSE 0x0F}{PAUSE 0x0F}{PAUSE 0x0F}$" = "任何宝可梦紧张。{PAUSE 0x0F}{PAUSE 0x0F}{PAUSE 0x0F}{PAUSE 0x0F}$"
"anyone with lovely combinations…$" = "华丽组合，谁都能打赢…$"
"anyone, I had to have my father\l" = "都得让爸爸\l"
"anyone. That makes me strong!$" = "不输给任何人，所以我很强！$"
"anything like a 2-on-1 battle.$" = "打什么二对一的。$"
"anything tight?$" = "紧握什么？$"
"anything, except for one thing.\p" = "面对一切，只有一件事例外。\p"
"anytime, and anyhow!$" = "在任何地方对战！$"
"anytime. Shows your\n" = "显示你现在\n"
"anytime.$" = "展示我的风格。$"
"anyway.$" = "怎么认真打。$"
"anywhere with a lot of POKéMON?$" = "强大训练家呢？$"
"apologize for one thing.\p" = "我该为一件事道歉。\p"
"appeal after this.{PAUSE 15}{PAUSE 15}{PAUSE 15}{PAUSE 15}$" = "无法表演。{PAUSE 15}{PAUSE 15}{PAUSE 15}{PAUSE 15}$"
"appeal got my heart pounding!$" = "表演让我心跳加速！$"
"appeal in front goes.$" = "表演效果影响。$"
"appeal still has my heart pounding!$" = "表演仍让我心跳不止！$"
"appeal was stunning!\p" = "组合表演太惊艳了！\p"
"appealed before the user.$" = "在使用者之前表演的宝可梦。$"
"appeals any more.$" = "参加表演了。$"
"appeals during the secondary judging.\p" = "二次审查的表演而兴奋。\p"
"appeals on the next turn.$" = "表演顺序。$"
"appear beside my name in the\l" = "通讯录里我的名字旁\l"
"appear fairly frequently.\p" = "较为频繁地出现。\p"
"appear in a new random order every time\l" = "每次踏上冒险时都可能\l"
"appear on routes.$" = "出现在道路上。$"
"appear on the Route.\p" = "这种属性的宝可梦。\p"
"appear.\p" = "也不会再出现。\p"
"appearance$" = "外观$"
"appearing in LILYCOVE CITY with just\l" = "即将现身水静市，\l"
"apply Quick Claw.$" = "附加先制之爪。$"
"apprenticing under a strong TRAINER.\p" = "拜一位强训练家为师。\p"
"are" = "都"
"are POKéMON and heart, of course!$" = "当然是宝可梦和心意！$"
"are a cute challenger, {PLAYER}.\p" = "你是个可爱的挑战者，{PLAYER}。\p"
"are even remotely legendary?$" = "传说的故事吗？$"
"are gonna give you guys everything\l" = "岩石属性宝可梦会把\l"
"are inspiring!\p" = "真令人振奋！\p"
"are lined up in sequence, depending on\l" = "按照你租借的先后顺序\l"
"are lowered." = "替换下场。"
"are my obsession!\p" = "是我的最爱！\p"
"are sure to strike first." = "必定能够先制攻击。"
"are swapped for 5 turns." = "在5回合内互换。"
"are too strong.$" = "太急的地方游泳。$"
"are urged to save their BERRIES.\p" = "就请备好树果。\p"
"are worth seeing.\p" = "还是值得一看的。\p"
"are, go check the list behind me.\p" = "宝可梦是什么，看看我身后的列表。\p"
"aren't you?\p" = "对吧？\p"
"aroma?$" = "吸引来的吗？$"
"aromatic scent." = "芳香。"
"around 28 inches or less.\p" = "约28英寸以下的宝可梦参加。\p"
"around EVER GRANDE.\p" = "强敌训练家云集。\p"
"around everywhere interviewing all\l" = "旅行，采访各种各样的\l"
"around for you!$" = "就一直在这等你！$"
"around here interesting!$" = "有很多有趣的东西！$"
"around here!$" = "找到了很酷的宝可梦！$"
"around here?$" = "这么凉快？$"
"around like a SPINDA!$" = "就像晃晃斑一样！$"
"around losin' now!$" = "现在可不能输！$"
"around the world, making my\l" = "修行，把我的\l"
"around uninvited here and there.\p" = "不请自来地乱转。\p"
"around you who have also entered\l" = "同样进入联合房间的\l"
"around {POKEMON_HUB} to refresh your\l" = "去{POKEMON_HUB}里转转，\l"
"around {STR_VAR_2}.$" = "{STR_VAR_2}一带见吧。$"
"around {STR_VAR_3}.\p" = "就在 {STR_VAR_3} 附近。\p"
"around!?$" = "干什么！？$"
"arrival well. I've just finished reading\l" = "正好。我刚读完一本书，\l"
"arrival.\p" = "你的到来。\p"
"arrived!\p" = "终于来了!\p"
"as Legends too).$" = "算作传说)。$"
"as a sailing man!\p" = "血都沸腾了！\p"
"as a super sketch model." = "被选中的奖章。"
"as a teacher for a moment…$" = "忘掉教师身份吧…$"
"as filling…\p" = "做馅…\p"
"as helpful.$" = "这么愿意帮忙。$"
"as if they were my siblings!\p" = "照顾弟妹一样照顾它们！\p"
"as if we shared a heart.\p" = "仿佛心意相通。\p"
"as much.$" = "培育宝可梦。$"
"as much.\p" = "培育宝可梦。\p"
"as normal.\p" = "照常生效。\p"
"as often as possible!$" = "当我的观众！$"
"as sister and brother." = "享受宝可梦的乐趣。"
"as strong as me.\p" = "没我这么强。\p"
"as the TRAINER representative.\p" = "作为训练家代表回答。\p"
"as the first on the spot?$" = "打头阵呢？$"
"as the one before it.$" = "前一个表演相同。$"
"as they do whilst out on Adventures.\p" = "冒险途中并不完全相同。\p"
"as those before it.$" = "之前的表演相同。$"
"as well as me…?$" = "用得出神入化吗…？$"
"as your apprentice.$" = "我是你的徒弟。$"
"as yourself.$" = "强大训练家。$"
"ash will stop falling?\p" = "什么时候才不再落呢？\p"
"ask me about linking?$" = "连接的事吗？$"
"ask!\p" = "拜托你一件事！\p"
"assembled teams that would beat any\l" = "组出过能击败任何属性\l"
"assures fleeing\n" = "能确保从\n"
"at Meteor Falls." = "发现的陨石。"
"at a FENCE!\p" = "一道栅栏！\p"
"at a TIRE!\p" = "一只轮胎！\p"
"at a cheap price." = "低价卖出。"
"at a high price." = "高价卖出。"
"at a nice rock without growing bored.$" = "看几个小时也不腻。$"
"at a place named {STR_VAR_2}?\p" = "在一个叫{STR_VAR_2}的地方？\p"
"at a poster!\p" = "一张海报！\p"
"at any time!\p" = "自己的EV和IV！\p"
"at least 1 Pokémon of that Type will\l" = "该道路上至少会出现1只\l"
"at my eyes.\p" = "回答我。\p"
"at once.$" = "的装置。$"
"at pretty flowers?$" = "是不是很棒？$"
"at singing or POKéMON.\p" = "都无所谓。\p"
"at the ART MUSEUM." = "玻璃复制品。"
"at the BATTLE TOWER." = "对战塔的证明。"
"at the BATTLE TOWER.\p" = "在对战塔获得了奖章。\p"
"at the GAME CORNER {STR_VAR_2} times.\p" = "游戏城的老虎机{STR_VAR_2}次。\p"
"at the SEASHORE HOUSE…$" = "去海边小屋喝…$"
"at the SPACE CENTER.\p" = "遇上点麻烦。\p"
"at the bottom of the sea?\p" = "有厉害的训练家呢？\p"
"at the daycare." = "几率。"
"at the foe at a high speed." = "必定能够先制攻击。"
"at the foe. It may\n" = "有时会\n"
"at the morning market!\p" = "市场的空气一样清爽！\p"
"at the same time." = "同时进行攻击。"
"at the time?$" = "当时的心情？$"
"at the {STR_VAR_2} {STR_VAR_3} times.\p" = "{STR_VAR_2}当上了{STR_VAR_3}次冠军。\p"
"at the {STR_VAR_2}!\p" = "就在{STR_VAR_2}！\p"
"at the {STR_VAR_2}.\p" = "就在{STR_VAR_2}。\p"
"at the {STR_VAR_2}?\p" = "在{STR_VAR_2}？\p"
"at this, huh?\p" = "越来越像样了，对吧？\p"
"at using.\p" = "拿手招式。\p"
"at work there…$" = "神秘的力量…$"
"ating scent." = "精神一振。"
"attached.\p" = "附着一张纸条。\p"
"attack 2 turns later." = "2回合后攻击对手。"
"attack a foe of the\n" = "异性对手。\n"
"attack at double the power." = "以2倍威力返还。"
"attack both foes." = "攻击双方对手。"
"attack depending\n" = "为攻击附加\n"
"attack moves." = "攻击招式。"
"attack that can't\n" = "无法被躲避的\n"
"attack that may\n" = "招式，有时会\n"
"attack, but sharply\n" = "但会大幅降低\n"
"attack. Lowers foe's Sp. Atk." = "并降低对手特攻。"
"attack. May lower Sp. Def." = "有时会降低对手的特防。"
"attacked for " = "被持续攻击"
"attacks next turn." = "下回合发动攻击。"
"attacks on the next turn." = "下回合攻击对手。"
"attacks." = "攻击。"
"attacks…$" = "的攻击…$"
"attempt?$" = "参赛了吗？$"
"attention from others.$" = "注意力从别处移开。$"
"attention to me?\p" = "会理我吗？\p"
"attention to their character traits.$" = "它们的个性特征吧。$"
"attention.{PAUSE 0x0F}{PAUSE 0x0F}{PAUSE 0x0F}{PAUSE 0x0F}$" = "注意。{PAUSE 0x0F}{PAUSE 0x0F}{PAUSE 0x0F}{PAUSE 0x0F}$"
"attract a Pokémon\l" = "吸引宝可梦\l"
"attract rain!$" = "能招来雨水！$"
"attracted you?$" = "吸引了你？$"
"attracting much attention!$" = "瞩目的训练家！$"
"attracts wild\n" = "使用后能吸引\n"
"audience in any CONTEST.$" = "表演，任何大赛皆可。$"
"aura about you!\p" = "一股赢家的气场！\p"
"aura. May cause flinching." = "有时会使对手畏缩。"
"auspicious wishes.\n" = "吉祥愿望的铠甲。\n"
"automatically healed after Key Battles\l" = "(比如强力训练家或劲敌战)\l"
"available areas.$" = "可用区域。$"
"avert its gaze.{PAUSE 0x0F}{PAUSE 0x0F}{PAUSE 0x0F}{PAUSE 0x0F}$" = "移开了视线。{PAUSE 0x0F}{PAUSE 0x0F}{PAUSE 0x0F}{PAUSE 0x0F}$"
"avoid seeing it.{PAUSE 0x0F}{PAUSE 0x0F}{PAUSE 0x0F}{PAUSE 0x0F}$" = "避开了那一幕。{PAUSE 0x0F}{PAUSE 0x0F}{PAUSE 0x0F}{PAUSE 0x0F}$"
"awaken the wild spirit within!\p" = "唤醒内心的野性！\p"
"awakens Pokémon\n" = "让宝可梦醒来，\n"
"awakens sleeping\n" = "能唤醒沉睡的\n"
"away from fishing or POKéMON.$" = "放不下钓鱼和宝可梦。$"
"away in the PETALBURG GYM.\p" = "橙华道馆里。\p"
"away on a cloud of bubbles?$" = "飘走，那该多好？$"
"away, too…$" = "也遥遥无期…$"
"away…$" = "还很远…$"
"baby-smooth skin!$" = "像婴儿般光滑的训练家！$"
"back here for your advice!$" = "来这里找你请教的！$"
"back in its Poké Ball?$" = "放回它的精灵球里吗？$"
"back in to you BAG.\p" = "你的背包里了。\p"
"back my words.\p" = "得收回刚才的话。\p"
"back to back with no chance to get any\l" = "中间没有任何机会获得\l"
"back to the attacker." = "反弹给对手自身。"
"back with all the supplies.\p" = "后面和补给坐一起。\p"
"back, “Yodelayhihoo.”$" = "“约德尔唷嚯”。$"
"back.$" = "线路。$"
"backup memory.$" = "备份存储器。$"
"backup!\p" = "来支援！\p"
"bad after all, huh?$" = "还挺厉害的嘛？$"
"bad for doing this, but…$" = "这么做有点过意不去，可是…$"
"badly poisons the\n" = "会让持有者\n重度中毒。"
"bake a Pie.$" = "烤一个派。$"
"balanced around it.$" = "围绕此设计的。$"
"bamboo shoot. Best\n" = "竹笋，最适合\n"
"banned.\p" = "禁用招式学习器剧毒。\p"
"base Attack." = "降低攻击基础点数。"
"base Defense." = "降低防御基础点数。"
"base HP." = "降低ＨＰ基础点数。"
"base Sp. Atk." = "降低特攻基础点数。"
"base Sp. Def." = "降低特防基础点数。"
"base Speed." = "降低速度基础点数。"
"based on their Trainer Class." = "训练家分类随机出现。"
"bathe with my POKéMON." = "和宝可梦一起洗澡。"
"battle again.\p" = "我可没打算输。\p"
"battle against low-level opponents.\p" = "我会过意不去。\p"
"battle at once!\p" = "同时上场对战！\p"
"battle by themselves.\p" = "并自行战斗。\p"
"battle for the ages!$" = "流传后世的战斗！$"
"battle format,\l" = "对战格式、\l"
"battle here!$" = "我会手下留情！$"
"battle if the\n" = "若参加战斗，\n"
"battle next time we meet for sure!$" = "一定要再打一场！$"
"battle some more.$" = "再去对战几场。$"
"battle style.\p" = "倒是很有气势。\p"
"battle team?\p" = "队伍，很酷吧？\p"
"battle terrain." = "场地的持续时间。"
"battle to be-bzzzt!-shocking, go\l" = "对战—哔！—够电，\l"
"battle together!\p" = "对战就赢了！\p"
"battle together.$" = "一起对战。$"
"battle turn out exactly as planned.$" = "计划进行，确实很难。$"
"battle with you. What do you say?\p" = "再跟你打一场。你觉得呢？\p"
"battle with you.\p" = "再和你打一场。\p"
"battle without fail." = "对战中替换下场。"
"battle!$" = "打一场吧！$"
"battle!\p" = "喜欢对战！\p"
"battle, I think I'll use-\p" = "这场对战，我想用—\p"
"battle, eh?$" = "精彩的对战，对吧？$"
"battle, otherwise you'll have annoyed\l" = "不然你就要惹\l"
"battle." = "战斗中。"
"battle.$" = "对战。$"
"battle.\p" = "对战。\p"
"battle?$" = "你的对战吗？$"
"battled in my life, you know!\p" = "打得最快的一次！\p"
"battled our featured TRAINER.$" = "对战后留下的感想。$"
"battles ahead!$" = "对战中还会有很多胜利！$"
"battles as they come in!$" = "最新战况！$"
"battles at the {STR_VAR_2}.\p" = "就在{STR_VAR_2}。\p"
"battles with strong Trainers!$" = "训练家认真对战！$"
"battles, I'm always checkin' out\l" = "我也总在留意\l"
"battles, kiddo!$" = "对战顺利，小家伙！$"
"battles, there is no substitute for\l" = "没有哪里比得上\l"
"battles.$" = "对战。$"
"battles…$" = "我不该慌的…$"
"battle…$" = "短暂的对战…$"
"battle…\p" = "我的心情…\p"
"battling as Big Mo…\p" = "跟大莫差不多…\p"
"battling one {STR_VAR_3}…$" = "与一只 {STR_VAR_3} 对战…$"
"battling the visiting TRAINER.\p" = "与来访训练家的对战。\p"
"battling with you!$" = "来忘掉这份羞愧！$"
"battling with your favorite POKéMON.$" = "还能这么强，真厉害。$"
"battling you too!\p" = "和你对战中学习！\p"
"battling!$" = "用来对战的！$"
"be a good boast I could say to my\l" = "有什么好话能对败给我的\l"
"be able to interact with items and you\l" = "和道具互动，\l"
"be able to see which Unique Pokémon it\l" = "能看到它正在追踪哪只\l"
"be and I sometimes miss how simple it\l" = "样子，有时会怀念\l"
"be avoided." = "攻击。"
"be captivated by you!\p" = "都会被你迷住的！\p"
"be climbed.$" = "就可以攀爬。$"
"be climbed.\p" = "就可以攀爬。\p"
"be escorted back to the HUB and we'll\l" = "被送回枢纽，我们会\l"
"be given 3 random {LV}50 Pokémon.\p" = "各随机获得3只{LV}50宝可梦。\p"
"be good?$" = "比较好呢？$"
"be lined up. Could you decide for me?\p" = "该怎么排。你能帮我决定吗？\p"
"be lonesome. That's not nice.$" = "它会孤单的。那可不好。$"
"be more than 1 Pokémon that matches\l" = "道路上也会有不止1只\l"
"be obeyed.\p" = "重要规则。\p"
"be overwritten.$" = "被覆盖。$"
"be permanent.\p" = "都是永久的。\p"
"be riden.$" = "可以骑乘。$"
"be so quick to run away.\p" = "就不会那么快逃走。\p"
"be sold cheaply." = "低价卖出。"
"be somehow linked to a volcano!$" = "和火山有什么关系！$"
"be stored. You've no room for this.$" = "满了，放不下这个。$"
"be stronger?$" = "会更强？$"
"be suitable for my {STR_VAR_1}.\p" = "适合我的{STR_VAR_1}。\p"
"be sure there's some water." = "记得要备好水。"
"be taken into runs." = "会带入冒险。"
"be the better choice: {STR_VAR_2}\l" = "更好：{STR_VAR_2}\l"
"be tracked.$" = "数量。$"
"be unable to live up to its potential.$" = "无法发挥全部实力。$"
"be up in the mountains!$" = "就别到山上来！$"
"be used to cause\n" = "让宝可梦\n"
"be used twice in a row." = "无法连续使用。"
"be using.\p" = "哪只宝可梦。\p"
"be worth of being called an art?\p" = "配得上被称为艺术吗？\p"
"be your opponent.$" = "使用者，来做你的对手。$"
"be, if you were to join us!$" = "世界会变多美！$"
"beach bum SWIMMER!" = "海滩上的游泳者！"
"beam that may freeze it." = "有时会冰冻对手。"
"beam that may lower Attack." = "有时会降低攻击。"
"beam that may\n" = "光线，有时会\n"
"beam. May cause frostbite." = "可能造成冻伤。"
"beaten five TRAINERS again today.\p" = "又打赢了五个训练家。\p"
"beaten so easily…$" = "我都不知道该说什么…$"
"beating someone obviously strong!$" = "能让我信心大增！$"
"beautiful flowers, so I raise BERRIES\l" = "开满美丽的花朵，\l"
"beautiful world!$" = "美丽的世界！$"
"beautiful!$" = "变得更美！$"
"beauty$" = "美丽$"
"became filthy with dirt.\p" = "沾满了泥巴。\p"
"because TYRA, my student mentor,\l" = "是因为我的前辈泰拉\l"
"because it joins RUSTBORO and\l" = "是因为它连接着\l"
"because of the way its cells\n" = "因为它体内的细胞\n"
"because of their darker color.$" = "因为那里的颜色更深。$"
"because the TRAINER lost.{PAUSE_UNTIL_PRESS}$" = "不会制作联动电视节目。{PAUSE_UNTIL_PRESS}$"
"because they're my friends.$" = "因为它们是我的朋友。$"
"because you are a-MAZ-ingly strong!\p" = "因为你强得离谱！\p"
"become Champion and entered the Hall\l" = "进入名人堂之前\l"
"become a champion?$" = "成为冠军？$"
"become a copy of the foe." = "变成与对手相同的样子。"
"become a great Trainer!\p" = "成为了不起的训练家！\p"
"become friends with the legendary\l" = "与传说中的宝可梦\l"
"become like my husband and me.$" = "这样就能像我们夫妻一样。$"
"become one with the wind." = "就能与风融为一体。"
"become stronger without limit.$" = "无限地变强。$"
"become stronger.\p" = "然后变得更强。\p"
"become the GROUP LEADER.\p" = "谁当队伍队长。\p"
"become with your POKéMON, {PLAYER}.\p" = "一起有多强，{PLAYER}。\p"
"bed allowing you to\l" = "可以让你\l"
"been on an Adventure, so I can\l" = "再来找我，这样我就能\l"
"been on an Adventure?\p" = "没去过冒险？\p"
"been stocking up for a long journey\l" = "为远方的长途旅行\l"
"been training my team all over.\p" = "一直在从头练队伍。\p"
"been waiting!\p" = "我等好久了！\p"
"before I can let you on an Adventure.$" = "我才能让你去冒险。$"
"before I can let you on an adventure.$" = "我才能让你去冒险。$"
"before I can reopen the GYM.\p" = "才能重开道馆。\p"
"before I let you pass!$" = "我得确认你行不行！$"
"before entering any CONTEST.$" = "我的伙伴再去参加华丽大赛。$"
"before entering.\p" = "会是什么宝可梦。\p"
"before exhausting your {PKMN} for\l" = "在{PKMN}力竭前，收费\l"
"before is still here.$" = "还留在这里。$"
"before it can move." = "并抢在对手行动前。"
"before throwing a SAFARI BALL.$" = "捕捉的成功率。$"
"before you may be given the title of\l" = "在等着你，就在你获得\l"
"before!\p" = "了解了！\p"
"befoul this beautiful world.$" = "玷污这美丽的世界。$"
"befriend any kind of Pokémon with\l" = "轻易和任何宝可梦\l"
"behave normally.\p" = "仍照常进行。\p"
"behaviour of the Adventures you go on.\p" = "你所经历冒险的规则。\p"
"behind loss.\p" = "逆转败北。\p"
"behooves you.$" = "我想再请你打一场。$"
"being together with POKéMON.$" = "找回我的野性。$"
"being!$" = "真了不起！$"
"beings!\p" = "完美的存在！\p"
"beings.\p" = "完美的存在。\p"
"believe it may indeed contain ancient\l" = "它里面或许真的藏着古代\l"
"belong to?$" = "哪只宝可梦？$"
"belonging to {STR_VAR_1}.\p" = "属于{STR_VAR_1}的宝可梦。\p"
"beloved steed." = "合为一体的缰绳。"
"beloved {STR_VAR_1}.\p" = "{STR_VAR_1}有关。\p"
"beloved {STR_VAR_2}.\p" = "{STR_VAR_2}的来信。\p"
"berries to blend.$" = "可以搅拌的树果。$"
"berries.$" = "树果。$"
"berry will change?$" = "改变哪项能力吗？$"
"best at whatever you do?\p" = "尽全力做好每件事？\p"
"best suited, {STR_VAR_2} or\l" = "最合适，{STR_VAR_2}还是\l"
"bested by anyone at anything.$" = "任何事上输给过谁。$"
"better again…\p" = "来让我心情好转了…\p"
"better at training every time.$" = "每次都在提高。$"
"better fight now!$" = "一定能打得更漂亮！$"
"better footage, but…$" = "更好，可惜…$"
"better letter, {STR_VAR_1}!\p" = "好的信，{STR_VAR_1}！\p"
"better on Pokémon\n" = "对\n"
"better on weaker\n" = "对较弱的\n"
"better. I'll go for it, too!$" = "我也要加油了！$"
"better?$" = "更好？$"
"between One, Two,\n" = "和3岛的\n"
"between Updates)$" = "更新之间被清除)$"
"between a FISHERMAN and a POKéMON.$" = "和宝可梦之间的较量。$"
"between you and me…$" = "差距这么大…$"
"be{FONT_NORMAL}, Champion, there's sooooo much more\l" = "就是{FONT_NORMAL}冠军了，还有超多\l"
"big appearance!\p" = "大显身手了！\p"
"big pot." = "大花盆里。"
"bit.$" = "回忆起来。$"
"bitter flavor. This is because of\n" = "获得了苦涩的味道。这是\n"
"bitter, no one has ever eaten it as is." = "太苦了，没人能直接吃。"
"bitterness, “{STR_VAR_2}.”\p" = "回答：“{STR_VAR_2}。”\p"
"bit…\n" = "顺序也行…\n"
"black and white will be clearly\l" = "让黑与白\l"
"blade of some sort.\n" = "碎片，\n"
"blast both foes." = "攻击双方对手。"
"blast of light that\n" = "光线，降低\n"
"blast, too!\p" = "也玩得很开心！\p"
"blend {POKEBLOCK}S, don't you?$" = "混合宝可方块吧？$"
"blocked?\p" = "挡住的时候？\p"
"blocks passage." = "挡住去路。"
"blowing through!\p" = "一阵清风吹过！\p"
"board without flipping any Voltorbs.\p" = "且不能翻到任何霹雳电球。\p"
"body and mind healthy." = "身心保持健康。"
"body tackle." = "整个身体撞击对手。"
"body. May cause flinching." = "压向对手。有时会使对手畏缩。"
"bolt into a Z-Move." = "升级为Ｚ招式。"
"bomb. May restore HP." = "有时会回复对手的HP。"
"bombarding enemies with the\n" = "以炉膛里燃烧的烈焰般\n"
"bone. Might drop Defense." = "骨头。可能降低防御。"
"boost Speed." = "大幅提高速度。"
"boost accuracy." = "命中率会提高。"
"boosts Electric-\n" = "能提高电属性\n"
"boosts Exp. points\n" = "能增加对战中\n"
"boosts Fighting-\n" = "能提高格斗属性\n"
"boosts Psychic-\n" = "能提高超能力属性\n"
"boosts a move used\n" = "连续使用同一招式时，\n"
"boosts the power of\n" = "能提高\n"
"boosts, then attacks." = "然后发动攻击。"
"bored of the ABANDONED SHIP.\p" = "在废弃船待腻了。\p"
"boring battles. I didn't even break a\l" = "无聊的对战。我赢他们\l"
"both Attack and Defense." = "同时提高攻击和防御。"
"both extremely hard and terribly\l" = "极其坚硬，又\l"
"both lost…$" = "可两个人都输了…$"
"both primary and secondary judging!\p" = "一次和二次审查中都排第一！\p"
"both you and the opponent will always\l" = "你和对手在战斗中\l"
"both you and {STR_VAR_1} to share?$" = "给你和 {STR_VAR_1} 一起分享吗？$"
"bother, but please decide for me.$" = "被麻烦，但还是请帮我决定。$"
"bought the item {STR_VAR_2} in bulk.\p" = "大量购买了{STR_VAR_2}。\p"
"boulders around.$" = "可以挪动了。$"
"bounced in ROULETTE!$" = "球都滚进轮盘了！$"
"bowled us over totally.\p" = "彻底把我们震住了。\p"
"boyfriend.$" = "交不到男朋友。$"
"break past the rock-hard willpower of\l" = "击破我宝可梦那\l"
"breed Pokémon and let them roam\l" = "数据来培育宝可梦，\l"
"brick. Put some\n" = "砖。上面可以摆些\n"
"brims with spicy substances." = "却充满了辛辣成分。"
"bring more POKéMON.$" = "多带几只宝可梦来。$"
"bring two POKéMON with you.$" = "请带两只宝可梦来。$"
"bringing an old royal touch to your\l" = "给你的冒险带来一抹\l"
"brother lives in MAUVILLE.\p" = "住在紫堇市。\p"
"bubbles that keep it afloat in water." = "气泡，让它在水中漂浮。"
"bugs to school today.\p" = "心爱的虫子带去了学校。\p"
"build orders for {POKEMON_HUB}.$" = "{POKEMON_HUB}的建造指令。$"
"buildings.$" = "材料。$"
"burn" = "灼伤"
"burn the foe." = "使其灼伤。"
"burns on contact." = "治愈接触到的灼伤。"
"bursts with wildness!\p" = "充满了野性！\p"
"business. It's almost overwhelming.\p" = "难以置信，简直忙不过来。\p"
"but I can win even without him.$" = "但没他我也能赢。$"
"but I chose my 3-POKéMON team.\l" = "我选好了三只宝可梦的队伍。\l"
"but I couldn't catch it.\p" = "可就是抓不到。\p"
"but I couldn't pull out the win.\p" = "可就是赢不了。\p"
"but I don't know what to do.\p" = "但不知道该怎么做。\p"
"but I don't know what to do…\p" = "可是不知道该怎么做…\p"
"but I explore ancient ruins and such.\p" = "我在研究古代遗迹之类的。\p"
"but I got right into it." = "结果就迷上了。"
"but I got too much at stake to go\l" = "但我赌注太大，\l"
